Ripple,4.333333333
Jam 2,4
Scarlet Begonias > Fire On The Mountain,4
The Golden Road (To Ultimate Devotion),4
"New, New Minglewood Blues",4
Mona,4
I'm a Man,4
Built To Last,4
Tomorrow Never Knows,4
Baba O'Riley,4
Werewolves of London,4
She Belongs To Me,4
Saint Of Circumstance > Scarlet Begonias > Fire on the Mountain,4
Rosemary,4
Viola Lee Blues (Edited Version),4
The Weight,4
Mission In The Rain,4
Eyes of the World > Drums,4
Crazy Fingers > Drums,4
Lazy Lightning > Supplication,4
Cream Puff War,4
Morning Dew,4
In The Midnight Hour,4
Knockin' On Heaven's Door ,4
Peggy-O (Studio Outtake),4
Cold Rain and Snow (With Vocals),4
Can't Come Down,4
Sugaree ,4
Ripple (Alternative Live Version),4
Monkey And The Engineer (Alternative Live Version),4
Jack-A-Roe (Alternative Live Version),4
Iko Iko (Live),4
To Lay Me Down (Studio Rehearsal),4
Saint Of Circumstance (Live),4
Lost Sailor (Live),4
Althea (Live),4
Jack-A-Roe (Studio Outtake),4
Not Fade Away / Goin' Down The Road Feeling Bad,4
Eyes of The World,4
Keep Rolling By,4
Row Jimmy,3.966666667
Franklin's Tower,3.956521739
Peggy-O,3.954545455
Help On The Way,3.928571429
Fire On The Mountain,3.925925926
Brokedown Palace,3.909090909
Eyes of the World,3.902439024
Mississippi Half-Step Uptown Toodeloo,3.888888889
Box of Rain,3.888888889
Friend Of The Devil,3.884615385
Brown-Eyed Women,3.88372093
They Love Each Other,3.88
Wharf Rat,3.87755102
Looks Like Rain,3.875
Ramble On Rose,3.871794872
Crazy Fingers,3.857142857
China Doll,3.857142857
Althea,3.857142857
Comes a Time,3.846153846
Stagger Lee,3.846153846
Scarlet Begonias,3.846153846
Terrapin Station,3.84375
Bird Song,3.833333333
Let It Grow,3.833333333
Loser,3.833333333
Touch of Grey,3.818181818
Weather Report Suite,3.8125
He's Gone,3.8
Casey Jones,3.795454545
Jack-A-Roe,3.785714286
Bertha,3.773584906
Tennessee Jed,3.769230769
China Cat Sunflower,3.763888889
Jack Straw,3.75862069
Mountains of the Moon,3.75
I Will Take You Home,3.75
Here Comes Sunshine,3.714285714
Deal,3.70212766
Sugaree,3.6875
St. Stephen,3.674418605
Me And My Uncle,3.666666667
Mississippi Half-Step Uptown Toodleloo,3.666666667
Mind Left Body Jam,3.666666667
(Walk Me Out In The) Morning Dew,3.666666667
Cassidy,3.655172414
Dire Wolf,3.652173913
Lazy Lightning,3.625
Foolish Heart,3.625
Stella Blue,3.620689655
Ship Of Fools,3.611111111
Standing On The Moon,3.6
Uncle John's Band,3.590909091
Cosmic Charlie,3.571428571
"It's All Over Now, Baby Blue",3.555555556
Candyman,3.55
El Paso,3.547619048
Slipknot!,3.533333333
Supplication,3.529411765
If I Had The World To Give,3.5
Feel Like a Stranger,3.5
Hey Bo Diddley,3.5
When Push Comes to Shove,3.5
Visions Of Johanna,3.5
The Mighty Quinn,3.5
Ollin Arageed,3.5
So Many Roads,3.5
Unbroken Chain,3.5
The Wheel,3.47826087
Black Peter,3.454545455
Dark Star,3.448275862
Me and My Uncle,3.435483871
Doin' That Rag,3.428571429
Sing Me Back Home,3.416666667
We Bid You Goodnight,3.416666667
Playing In The Band,3.403508772
Stuck Inside of Mobile with the Memphis Blues Again,3.4
To Lay Me Down,3.375
Queen Jane Approximately,3.375
Dupree's Diamond Blues,3.375
Spanish Jam,3.375
Saint Of Circumstance,3.363636364
Iko Iko,3.363636364
Truckin',3.359375
The Music Never Stopped,3.346153846
Attics of My Life,3.333333333
Shakedown Street,3.333333333
Let The Good Times Roll,3.333333333
Katie Mae,3.333333333
The Stranger (Two Souls In Communion),3.333333333
Smokestack Lightnin',3.333333333
That's It For The Other One,3.333333333
Knockin' On Heaven's Door,3.333333333
Dark Hollow,3.333333333
Estimated Prophet,3.333333333
Turn On Your Lovelight,3.290322581
Throwing Stones,3.285714286
I Know You Rider,3.279411765
Samson and Delilah,3.257142857
We Can Run,3.25
Feel Like A Stranger,3.25
Greatest Story Ever Told,3.25
Beat It On Down The Line,3.236842105
It Must Have Been The Roses,3.230769231
Cold Rain and Snow,3.227272727
Goin' Down the Road Feelin' Bad,3.212765957
West L.A. Fadeaway,3.2
Deep Elem Blues,3.2
Lost Sailor,3.2
Alligator,3.2
Black Muddy River,3.2
High Time,3.1875
The Eleven,3.176470588
Cumberland Blues,3.172413793
Viola Lee Blues,3.166666667
Me and Bobby McGee,3.157894737
The Other One,3.157142857
Big River,3.155555556
New Minglewood Blues,3.151515152
Walkin' Blues,3.142857143
Dear Mr. Fantasy,3.142857143
New Potato Caboose,3.142857143
Sugar Magnolia,3.126582278
Sitting On Top Of The World,3.125
Mexicali Blues,3.119047619
Rhythm Devils,3.105263158
Black-Throated Wind,3.085714286
Mama Tried,3.083333333
Hurts Me Too,3.083333333
Jam,3.08
Not Fade Away,3.074074074
Passenger,3.066666667
Caution (Do Not Stop On Tracks),3.055555556
Drums,3.052083333
Good Lovin',3.051724138
I Need A Miracle,3.05
Don't Ease Me In,3.043478261
One More Saturday Night,3.042553191
Big Railroad Blues,3.035714286
U.S. Blues,3.033333333
Space,3.015873016
Take A Step Back/Tuning,3
Keep Your Day Job,3
Cryptical Envelopment > Drums > The Other One,3
Jam 1,3
Funiculì Funicula,3
Spam Jam,3
Dark Star / Jam,3
Cold Jordan,3
Might As Well,3
Sunshine Daydream,3
It's All Over Now,3
Cryptical Envelopment,3
Never Trust A Woman,3
It's A Man's World,3
Ballad Of A Thin Man,3
So What,3
Around and Around,3
Mock Turtle Jam,3
Promised Land,3
The Yellow Dog Story,3
Good Lovin' (Version 2),3
Caution (Do Not Stop On Tracks) (Version 2),3
Who Do You Love?,3
And,3
Revolution,3
Prelude,3
Epilogue,3
